id,A,B1,B2,B3,C1,C2,estado,nota
F0001,Consciência,diferença_de_modos_de_apreensão,estrutura_psicológica,consciência_vs_mecanismo,diagnóstico,análise,claro,
F0002,Consciência,abordagem_ao_real,crença_como_mediação,consciência_relacional,diagnóstico,análise,claro,
F0003,Ontologia,real_como_campo,agência_no_real,divisão_ontológica,fundação,diagnóstico,claro,
F0004,Ética,ética_encarnada,verdade_prática,homeostase_relacional,fundação,integração,claro,
F0005,Ética,regulação_emocional,verdade_vs_utilidade,escala_relacional,diagnóstico,distinção,claro,
F0006,Ética,utilidade_funcional,emergência_normativa,erro_de_descrição,diagnóstico,crítica,claro,
F0007,Consciência,economia_cognitiva,dominância_comportamental,julgamento_vs_pensamento,diagnóstico,crítica,claro,
F0008,Verdade,valor_incluído_no_real,critério_de_verdade,discurso_como_mediação,fundação,integração,central,
F0009,Verdade,verdade_como_exigência,autorresponsabilidade,ação_modificadora,diagnóstico,crítica,claro,
F0010,Verdade,verdade_como_descrição,autoevidência,consciência_cartográfica,fundação,explicitação,central,
F0011,Verdade,lei_como_descrição,normatividade_fundada_na_verdade,escala_analítica,integração,fundação,central,
F0012,Verdade,descrição_como_condição,bifurcação_ontológica,discurso_dominante,crítica,diagnóstico,central,
F0013,Verdade,sistema_vs_humano,relativismo_mascarado,autoridade_epistémica,crítica,genealogia,claro,
F0014,Verdade,forma_vs_conteúdo,aparência_de_verdade,negação_do_indivíduo,crítica,diagnóstico,central,
F0015,Política,mercado_como_sistema,externalidades,equivalência_formal,diagnóstico,exploração,provisório,
F0016,Ontologia,necessidade_derivada,autenticidade_ontológica,verdade_encarnada,fundação,diagnóstico,central,
F0017,Verdade,objetividade_condicionada,primado_do_indivíduo,incoerência_sistémica,crítica,aplicação,claro,
F0018,Ontologia,consciência_como_modo_de_ser,rejeição_do_panpsiquismo,realidade_como_totalidade,delimitação,correção,central,
F0019,Ética,dignidade_ontológica,ética_encarnada,crença_como_mediação,fundação,exemplificação,claro,
F0020,Consciência,melhores_modos_de_viver,liberdade_na_verdade,divisão_fundamental,fundação,diagnóstico,central,
F0021,Consciência,intencionalidade_do_real,verdade_como_funcionalidade,primado_da_reflexão,delimitação,esclarecimento,claro,
F0022,Consciência,qualia_naturalizados,consciência_natural,anti_excepcionalismo,esclarecimento,delimitação,claro,
F0023,História,ethos_da_liberdade,cristianismo_como_mediação,simplicidade_da_verdade,interpretação,diagnóstico,claro,
F0024,Ontologia,erro_como_modo_de_ser,instituição_vs_verdade,estabilidade_do_real,delimitação,fundação,central,
F0025,Verdade,formalismo_sem_verdade,modo_de_ser_como_significado,anti_dualismo,crítica,fundação,central,
F0026,Verdade,aproximação_ao_real,inteligibilização_limitada,forma_como_mediação,diagnóstico,fundação,central,
F0027,Ética,política_como_modo_de_ser,dignidade_mal_fundada,dever-ser_desligado,crítica,aplicação,claro,
F0028,Consciência,transmissão_do_mundo,função_paterna,descrição_humana_do_real,diagnóstico,fundação,central,
F0029,Verdade,civilização_orientada_à_verdade,verificação_no_real,unidade_ontologia_epistemologia,diagnóstico,exemplificação,claro,
F0030,Ética,direito_como_manifestação_da_verdade,adoração_da_forma,mal_como_escolha,diagnóstico,crítica,central,
F0031,Ética,humor_como_desvelamento,captura_formalista,autorresponsabilidade,diagnóstico,crítica,claro,
F0032,Ética,formalismo_do_discurso,rótulo_como_poder,real_vs_forma,diagnóstico,crítica,central,
F0033,Consciência,assimetria_moral,inscrição_do_modo_de_ser,atratividade_formal,diagnóstico,crítica,claro,
F0035,Ontologia,escala_ontológica,erro_categorial,divisão_fundamental,fundação,diagnóstico,central,
F0036,Ontologia,coerência_ontológica,integração_funcional,adequação_de_escala,fundação,clarificação,central,
F0037,Ontologia,verdade_emergente,liberdade_e_continuidade,obrigação_ontológica,fundação,integração,central,
F0038,Consciência,modo_de_ser_integrado,transmissibilidade_do_conhecimento,correção_traumática,diagnóstico,fundação,central,
F0039,Ontologia,continuidade_do_ser,corporeidade_integrada,mudança_por_hábito,fundação,síntese,central,
F0040,Consciência,abertura_existencial,verdade_como_critério_último,continuidade_coletiva,diagnóstico,síntese,central,
F0041,Ética,negação_do_real,justificação_do_erro,religião_como_ferramenta_civilizacional,diagnóstico,crítica,central,
F0042,Ontologia,complementaridade_dos_modos,necessidade_sistémica,real_como_processual,síntese,diagnóstico,central,
F0043,Ontologia,descrição_vs_normatividade,dualidade_adaptativa,conservação_e_exploração,diagnóstico,síntese,central,
F0044,Epistemologia,autorreferencialidade_do_discurso,primado_da_perceção,adaptação_ontológica,diagnóstico,fundação,central,
F0045,Epistemologia,dissenso_como_equívoco,formalismo_existencial,excecionalismo_falso,diagnóstico,crítica,central,
F0046,Ontologia,minimalismo_ontológico,Estado_como_limite,modos_fundamentais,diagnóstico,síntese,central,
F0047,Ontologia,crítica_ao_panpsiquismo,continuidade_do_ser,forma_vs_verdade,diagnóstico,crítica,central,
F0048,Ontologia,inscrição_corpórea_do_ser,preservação_identitária,processo_como_substituto_do_real,diagnóstico,crítica,central,
F0049,Ontologia,naturalização_da_consciência,crítica_ao_formalismo_mental,erro_como_desadequação,diagnóstico,crítica,central,
F0050,Ética,crítica_ao_emotivismo,ética_como_necessidade_ontológica,representação_e_valor,diagnóstico,crítica,central,

